,country,description,designation,points,price,province,region_1,region_2,variety,winery
10,US,"Still young, steely and firm, but classy and deep. This has the best attributes of the '05 and '06 Columbia Valley Cabs from Seven Hills—ripe and polished black fruits, firm tannins, a supple finish with a veneer of smoke and licorice. In other words, this is a complete, complex and intriguing Bordeaux blend, with plenty of aging potential.",,91,25.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Seven Hills
11,Portugal,"This is a seemingly weet rosé, with a good balance between its strawberry fruit and acidity. The wine is slightly sparkling and crisp, making it a delicious apéritif. Screwcap.",,85,,Vinho Verde,,,Rosé,Vera
12,US,"Light in body, with a tobaccoey, dried herb quality to the cherry fruit. Finishes fast, but quite an elegant wine, and should age for a while.",,87,55.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Jordan
13,Italy,"Nicely linear and compact, this wine has many elements that make it particularly food friendly. The bouquet is characterized by aromas of black fruit, tobacco, Indian tea and spice. The mouthfeel is tonic, tight and crisp.",Litina,89,,Piedmont,Barbera d'Asti Superiore,,Barbera,Cascina Castlet
14,US,"This shows the two classic markers of this vineyard: brisk, mouthwatering acidity and superripe flavors. The orange and peach notes meld with an apricot tone, which may have a touch of botrytis, lending a hint of honey. For all the richness, it's bone dry and minerally. Lovely now, but these Sleepy Hollow Vineyard Chardonnays age interestingly, gradually losing fruit and gaining nut and earthy notes.",Sleepy Hollow Vineyard,89,33.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Joullian
15,France,"From the same stable as Clos Nardian and Le Dôme, this is a well-balanced wine, with grassy fresh flavors, and some good green fruit. The citrus element gives a great lift to the wine, leaving a delicious finish.",Contre le Vent,88,27.0,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Teyssier
16,Turkey,"Aromas of black cherry and green pepper lead into flavors of cherry, menthol, pickled jalapeño, oregano and lavender. Tannins mildly outweigh acidity. Although all the pieces of the puzzle are evident on the palate, somehow they don't fit together perfectly.",Kirte Cabernet Sauvignon-Syrah-Petit Verdot,87,17.0,Thrace,,,Red Blend,Suvla
17,France,"With 25% new wood, this has good roundness, but it has kept a deliciously fresh mineral character. The aftertaste is all almonds, ripeness and vivid fruit flavors.",,86,36.0,Burgundy,Pouilly-Fuissé,,Chardonnay,Henri de Villamont
18,US,"Shut down by hard tannins and utterly dry, this fine young Cabernet is simply not ready to drink. It's very rich in blackberries, smoked meat and charred wood, with a finish that's fine, long and sweet in ripe fruits. Should blossom after 2014 and hold for a number of years.",,92,35.0,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Arrowood
19,US,"The very tannic '05 reserve is a blend of Petit Verdot, Cab Sauvignon, Merlot and Cab Franc. It's fleshy and rich in blackberry, cassis and tobacco flavors, with lots of new toasty oak, and there's something meaty, like ground hamburger with a splash of tamari. Utterly delicious and very fine, this low-production bottling should evolve over many years.",Reserve,93,100.0,California,Diamond Mountain District,Napa,Bordeaux-style Red Blend,Von Strasser
20,Australia,"This is, perhaps, one of the strangest wines I have ever tasted. The aromas are of the sea—brine and seaweed—over a smidge of blackberry fruit. Ditto the palate. Medium-bodied, not too tannic, and ends with a black peppery note that evens out once the wine sits for a few minutes. Bizarre.",,82,19.0,South Australia,Riverland,,Petit Verdot,Ellen Landing
21,Italy,"This gorgeous Pinot Grigio displays the fresh aromatic fragrances associated with cool-climate, mountain winemaking. Layers of jasmine, tangerine, cut grass and white almond appear on the bouquet, giving this wine a delicate and feminine personality. A spicy touch of acidity drives the clean, bright finish.",,90,15.0,Northeastern Italy,Alto Adige,,Pinot Grigio,Kellerei Kaltern Caldaro
22,Portugal,"From 100% Azal grapes, this is a rich style of Vinho Verde, ripe and citric, touched by minerality. Yeasty aromas go through the palate but don't detract from the ripe final fruit.",Azal,87,12.0,Vinho Verde,,,Portuguese White,Solar de Pinheiro
23,US,"Much in the style of the outstanding 2008, this elegant, Burgundian-like Pinot Noir is a finessed wine, with lovely details of rose petal and penetrating raspberry fruit. There's a pleasing transparency, keeping it light without losing focus or depth, and the finely rendered tannins put the perfect period at the end of the sentence.",Lachini Family Estate,91,45.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Lachini
24,France,88–90. Barrel sample. Hedgerow aromas and herbal flavors open a wine that is lightly fruity and soft in texture. There is only the lightest touch of botrytis evident.,Barrel Sample,89,,Bordeaux,Barsac,,Bordeaux-style White Blend,Château Doisy-Daëne
25,Italy,"Gianni Brunelli's elegant Brunello opens with a bright ruby color and a lean, tonic appearance. Yet the aromas of cherry, anise seed and wild flowers are intense and beautiful. The mouthfeel is streamlined and compact.",,88,75.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Gianni Brunelli
26,Australia,"Although this wine is clearly darker and more intensely concentrated than its little sibling, with more capacity for aging, it's also more stern and less pretty. Blueberry and plum fruit is set off by savory spice and meat notes, with firm tannins and the potential to evolve through 2015 or beyond.",Lieu dit Malakoff,90,40.0,Victoria,Pyrenees,,Shiraz,Domaine Terlato & Chapoutier
27,Chile,"Slightly pickled on the nose and palate, with little acidity and kick. Flavors of apple, white raisin and cabbage carry a vanilla accent, and the finish is full, melony, sweet and soft. Generic, without much vitality.",Reserva,83,12.0,Colchagua Valley,,,Chardonnay,MontGras
28,US,"Creamy and lightly toasty, this elegant Chardonnay mixes its melon/apple fruit with vanilla cream and toasted cracker. The acid feels natural and brings in suggestions of pineapple, with a nice smack of butter kicking out the finish.",Estate,88,,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Ryan Patrick
29,Italy,"The evident oak element in this hearty Brunello needs time to integrate because the spice, toasted nut, clove and crushed peppercorn aromas are still strong. But the mouthfeel is soft, plush and shows great potential.",Franci,90,65.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Tassi
30,Italy,"This 80-20 blend of Cabernet Sauvignon and Cabernet Franc shows a bright cherry aroma, with spice, leather and tar notes in the background. It shows a soft, plush feel, with good balance.",,91,35.0,Tuscany,Bolgheri Superiore,,Red Blend,Ferrari Iris e Figli
31,South Africa,"Sweet and floral with assertive aromas of crushed violets, dark berries and a touch of milk chocolate. Easy in the mouth with a medium weight, round texture and soft tannins. The finish is loaded with juicy black fruit flavors. Drink now.",,86,18.0,Cederberg,,,Merlot-Shiraz,Cederberg
32,Italy,"Aromas include white spring flowers, tropical fruit and a hint of graphite. The juicy palate offers green apples, white peach and melon alongside fresh acidity. Delicate almond marks the close.",Montunal,87,15.0,Lombardy,Lugana,,Turbiana,Montonale
33,US,"Coeur d'Alene Cellars does a fine job with Syrah. This has much the same satiny, sexy black fruit as the more expensive Opulence bottling, but it is more accessible and forward, with less power in the back end. Still, it's quite delicious, and the smoky tannins add some extra authority.",Switchback Red,89,25.0,Washington,Washington,Washington Other,Red Blend,Coeur d'Alene
34,France,"There aren't many aristocratic estates in the largely peasant-based culture of Pouilly. But this is one, and it's old, dating back to 1396. The Estutt d'Assay family makes one wine, an estate wine: This 2004 has great elegance, not hugely rich, but with fine, pure fruit flavors that are already well balanced. There's roundness from the terroir of Tract-sur-Loire as well as a streak of fine acidity. Imported by Louis Latour Inc.",,91,35.0,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Château de Tracy
35,US,"A lightweight Pinot that's actually marketed as a rosé, this wine nevertheless manages to pack in decent flavors of apple skin, red berries and cinnamon, capped off by some leathery, meaty notes.",Fleurette,83,10.0,New York,North Fork of Long Island,Long Island,Rosé,Hargrave
36,US,"Plum and black cherry fruit flavors are at the core of this warmly generous wine, a round mouthful of fruit and sweet baking spices.",Cask,88,12.0,Washington,Rattlesnake Hills,Columbia Valley,Cabernet Sauvignon,Silver Lake
37,US,"A sharp, herbal blend of Syrah and Cabernet Sauvignon, showing hints of resin in its aromas. The pale red fruit flavors are tart, light, and simple.",2 Spires Red,85,32.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,William Church
38,Italy,"San Rustico consistently makes some of the best Amarone available in the United States market. This shows fine qualities of blackberry, chocolate and tobacco, and a polished, silky mouthfeel.",,90,54.0,Veneto,Amarone della Valpolicella Classico,,"Corvina, Rondinella, Molinara",San Rustico
39,France,"A dense wine, the wood just showing at this stage through its dark tannins and superb rich fruit. The wine is ripe, with a density of tannins that go right down deep. Big and powerful.",,94,,Bordeaux,Saint-Julien,,Bordeaux-style Red Blend,Clos du Marquis
40,Chile,"Earthy and smells a bit of compost along with dry leaves, grilled meat and herbal fruit. The palate is edgy, with snappy acidity propelling lean raspberry and cherry flavors. Peppery and light on the quick finish.",Reserva,84,15.0,Maule Valley,,,Merlot,Portal Del Alto
41,Italy,"Pretty floral nuances of jasmine, honeysuckle and acacia are backed by subtle hints of dried sage and basil. This luminous Soave has all its aromatic elements perfectly in line. The wine is smooth and crisp, with medium heft.",Vigne Maiores,85,,Veneto,Soave,,Garganega,Cambrago
42,South Africa,A nose of hay and sweet perfume opens to overripe and slightly oxidized flavors. Just too soft and too sweet.,Reserve,80,15.0,Robertson,,,Chardonnay,Van Loveren
43,France,"A youthful, pale straw color is the backdrop of haunting aromas of Marcona almond, dried lemon peel and hay. Zesty citrus notes on the palate are accompanied by hazelnut, baguette crust and vanilla. The vanilla continues on with the medium finish—a clear indicator of some oak influence. Round and succulent, yet balanced by fairly refreshing acidity.",Exquises Esquisses,88,,Languedoc-Roussillon,Corbières,,Grenache Blanc,Château Maylandie
44,Italy,"Succulent Sangiovese makes up half the blend and austere Cabernet Sauvignon and Cabernet Franc are the other half, giving the wine a fine balance between power and elegance. You'll notice cherry, sage, coffee and candle incense over firm tannins.",San Leopoldo,88,45.0,Tuscany,Toscana,,Red Blend,Il Poggione
45,US,"Once again the Jerome Reserve delivers the goods—a fine core of ripe cherry fruit, wrapped in pretty new oak. It's full-bodied, round and textural, while retaining a crisp, well-defined focus. Barrel aging adds complexity, with streaks of coffee, licorice and dark chocolate.",Jerome Reserve,92,50.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Lemelson
46,France,"This is a round, rich and soft style of Chardonnay. It feels generous, and its yellow fruit flavor pushes through the acidity. It slowly opens to reveal complex tropical-fruit notes, and it will develop further, so give it another four years.",Le Clos Blanc Grèves Premier Cru,92,75.0,Burgundy,Beaune,,Chardonnay,Louis Jadot
47,France,"This powerful, concentrated effort shows dense tannins that are balanced by rich black fruits. The wine has a sense of elegance that balances all of the richness. It's worth aging for at least 4 years.",,90,,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château Argadens
48,France,"88—90 Barrel sample. The second wine of Valandraud, a wine that goes more for tannins than its big brother. The fruit is less obvious, less attractive.",Barrel sample,89,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Clos Badon
49,Italy,"The name Grignolino comes from the dialect word for “seeds.” The grape, on the other hand, requires special winemaking techniques in order to soften the wine's tannins due to the natural abundance of seeds. Light in color and bright with fresh fruit characteristics, this would make an ideal red aperitivo wine.",,85,17.0,Piedmont,Monferrato,,Grignolino,Quattro Leoni
50,US,"A fine vintage of Bill Easton's Cabernet Franc, from the Monarch Mine Vineyard, where he typically sources tremendous Syrah and Barbera, this wine is still developing and will do nicely with time. For now it shows perfumed herbal restraint, subtle spice and a twist of oaky coffee on the finish. A savory wine that would pair well with filet mignon à point.",Monarch Mine Vineyard,92,20.0,California,Sierra Foothills,Sierra Foothills,Cabernet Franc,Easton
51,Spain,"Feels sturdy and properly acidic, with melon, papaya and apple flavors running alongside almondy bitterness. Simple and quick on the finish; 60% Xarel-lo and 40% Chardonnay.",Petit Albet Made with Organic Grapes Chardonnay-Xarel-lo,86,13.0,Catalonia,Penedès,,White Blend,Albet I Noya
52,US,"Light and grapefruity, without much Pinot Gris character. An innocuous, fairly generic white wine.",,84,9.0,Washington,Yakima Valley,Columbia Valley,Pinot Gris,Columbia Winery
53,Italy,"Refined only in stainless steel, this is a fresh and crisp white wine from Sardinia that makes a natural companion to light pasta and seafood. There are green notes of kiwi, lime and exotic fruit and the acidity will leave your mouth refreshed.",Giunco,87,28.0,Sicily & Sardinia,Vermentino di Sardegna,,Vermentino,Mesa
54,Spain,"Already past its prime, this Garnacha-based rosado has sweet nectarine aromas along with a sugary, creamy palate. If it had more zest upon release, that's mostly gone at this stage. Wait for the 2006.",Rosé,82,7.0,Northern Spain,Campo de Borja,,Garnacha,Borsao
55,Spain,"Dry, smoky and lightly fruity, this Pinot Noir-based Cava is about as good as it gets in the price range. The nose delivers distant brown sugar and burnt leaves, while the palate lays on the orange rind, peach and cherry skin flavors. Try this classy sparkler; you won't be disappointed.",Rosé Brut Reserva,89,15.0,Catalonia,Cava,,Sparkling Blend,Marqués de Gelida
56,US,"One of the best Cabernet Francs out there, this shows the imposing structure of a Cabernet Sauvignon, although it's lighter in body, with rich, dense tannins, fine acids and flavors of cherries and red currants. Decant it, and drink now with steak.",Estate,92,45.0,California,Atlas Peak,Napa,Cabernet Franc,Arger-Martucci
57,US,"This has smooth tannins and plenty of bright fruit flavor. Made in a savory style, the finish on this wine has a leathery bite to it.",Estate,87,26.0,California,Santa Clara Valley,Central Coast,Syrah,Jason-Stephens
58,US,"The best effort in the Palouse lineup, the Dineen designate has a bit more going on than the rest—a mix of prunes and cherry candy, falling off into a light finish with cocoa and baking spices.",Dineen Vineyard,86,50.0,Washington,Washington,Washington Other,Cabernet Sauvignon,Palouse
59,US,"Nice and dry, with a silky texture and pleasant cherry, cola and rhubarb flavors. But there's an unpleasant cut of acidity that slices through the palate, leaving behind a green, stalky aftertaste.",Sonoma Cuvée,84,20.0,California,Sonoma County,Sonoma,Pinot Noir,Rutz
60,US,"Foley's second wine, this is partly from their Santa Rita Hills estate and partly from the new Solomon Hills vineyard, in Santa Maria. It's a fine, dry Pinot, with bitter cherry, unsweetened cocoa, cola and subtle herb and spice flavors.",,85,22.0,California,Santa Barbara County,Central Coast,Pinot Noir,Lincourt
61,US,"This is the winery's most expensive Chardonnay, and it's also easily their best. It shows the ripe, flashy opulence that makes Chardonnay America's favorite white, with an array of pineapple and orange pie flavors. Beyond the richness, there's good acidity and a clean, brisk finish. Drink now.",Envoy,90,49.0,California,Russian River Valley,Sonoma,Chardonnay,Sonoma-Loeb
62,France,"92-94 The tannins are so dense and concentrated in this wine, that it is hard to discern the fruit. But the weight suggests the fruit will have equal density to the tannins.",Barrel Sample,93,,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château Haut Bages Libéral
63,US,"Sweet and honeyed, with apricot nectar, peach custard and vanilla flavors. Could use more acidity.",Ripkin Vineyards Late Harvest,85,20.0,California,Lodi,Central Valley,Viognier,Castle
64,US,"Young and yeasty, this six-variety blend captures the floral spice of Gewürztraminer, and mixes in some grassy herb, gooseberry and melon as well. An interesting, light, dry white wine perfect for spring.",Cuvée A Amrita White Wine,88,16.0,Oregon,Willamette Valley,Willamette Valley,White Blend,Anne Amie
65,US,"A huge, complex wine that flatters the palate with enormously rich, layered flavors of lemondrop, vanilla custard and butterscotch flavors. Fortunately, there's crisp Central Coast acidity.",Grand Reserve,90,20.0,California,Monterey-Santa Barbara,Central Coast,Chardonnay,Kendall-Jackson
66,US,"Decent, but you'll do way better in Argentina, and save lots of bucks. Semi-unripe, with green, herb and cherry flavors.",Reserve,83,55.0,California,Sonoma County,Sonoma,Malbec,Chateau St. Jean
67,New Zealand,"For a wine with such a large volume (over half a million cases were imported to the U.S.), the quality is admirable. Passion fruit and grapefruit elements dominate, while some grassier notes emerge as the wine sits in the glass, resulting in a pleasant blend of tropical and herbal notes. It's plump on the midpalate, then gains focus on the lengthy, mouthwatering finish.",,88,18.0,Marlborough,,,Sauvignon Blanc,Kim Crawford
68,Spain,"Floral, earthy, funky and barnyardy, with all the young exuberance that comes with joven/roble wines from RDD. Lots of color, power, tannins and extract along with young, sweet, chewy black-fruit flavors and tart acidity to the palate.",Roble,84,15.0,Northern Spain,Ribera del Duero,,Tempranillo,Bodegas Qumrán
69,US,"Pure Nebbiolo from the Elerding Vineyard, aged 40 months in a mix of French and American oak. Nebbiolo does not have much color to begin with, and this seems a bit washed out, with acids and barrel flavors overtaking the fruit. Astringent and aggressively oaky.",,85,42.0,Washington,Horse Heaven Hills,Columbia Valley,Nebbiolo,Stottle
70,US,"Tasted side by side with the winery's 2007 Champoux Cabernet, this shares a stylistic astringency, but with a bit more forward cherry/berry fruit. Where the 2007 might be seen as more substantial, the 2008 is more approachable and ready for near-term enjoyment.",Champoux Vineyard,88,50.0,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Three Rivers
71,Italy,"Aromas of cassis, cola and a hint of lemon make for an attractive bouquet. The mouth is a bit tangy due to electric red fruit bolstered by powerful acids. But it's one snappy, clean package. Gets better with airing, so try to give it time before drinking.",Don Alberto Riserva,90,40.0,Tuscany,Chianti Classico,,Sangiovese,Le Miccine
72,US,"Silky smooth, dry and classy, this Pinot shows great coastal personality in its tannins, crisp acidity and ripe flavors of cherries, cola, raspberries, pomegranates, orange zest and sweet rhubarb. That acidity is fresh and tart. Doesn't seem likely to improve, so decant. Should be nice with roast salmon, lamb chops or a great grilled steak.",Van der Kamp Vineyard,90,45.0,California,Sonoma Mountain,Sonoma,Pinot Noir,Vergari
73,New Zealand,"One of the more abundant New Zealand Pinot Noirs in the U.S., Brancott's 2007 Reserve boasts plenty of earthy, savory, sous-bois aromas and a bright cherry-cranberry core of flavor surrounded by foresty, fungal notes finishing crisp and long. Drink now–2013.",Reserve,88,25.0,Marlborough,,,Pinot Noir,Brancott
74,US,"Heavy, hot and full-bodied, more like a Rhône wine, with thick tannins and cherry, berry and oak flavors. Lacks the delicate elegance you want in a Pinot, especially one from cool Anderson Valley.",,83,20.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Claudia Springs
75,Spain,"For unafflicted plum and berry character, this young, fresh Rioja has the goods. The sweet berry and cherry palate is at peak drinking condition, and the finish runs longer than expected courtesy of a beam of bright acidity. A wine with Zinfandel-like charm. Imported by Pernod Ricard USA.",Crianza,85,10.0,Northern Spain,Rioja,,Tempranillo,Campo Viejo
76,US,"Dry, crisp in acidity and balanced, with citrus flavors, this is a refreshingly clean wine. It could use more fruity concentration, though, as it's thin and watery in the finish.",,83,16.0,California,Sierra Foothills,Sierra Foothills,Sauvignon Blanc,Easton
77,France,Red cherries and jelly fruits highlight a wine that is ripe and soft. A hint of acidity puts the sweetness into attractive relief.,,85,25.0,Burgundy,Bourgogne,,Pinot Noir,Bouchard Père & Fils
78,Spain,"Slightly tighter and more complex than previous years, this single-  vineyard wine delivers a ton of spice and herbs on a masculine bouquet and palate. Well-blended acids and tannins allow for it to be drunk now or over the next five to eight years. About 4,000 cases made. Imported by Tempranillo, Inc.",San Vicente,93,57.0,Northern Spain,Rioja,,Tempranillo,Senorio de San Vincente
79,Portugal,"A fresh, juicy wine with berry fruits, ripe but intense tannins and a black cherry flavor. There is a delicious, final burst of acidity.",Porca de Murça Tinto,88,10.0,Douro,,,Portuguese Red,Real Companhia Velha
80,US,"Classic varietal smells of chalk and golden raisin emerge from this wine. It's lusciously smooth once sipped, with orange, limestone and vanilla pudding leaning up against bitter greens and just-ripe nectarine. Serve with beets and goat cheese or Chinese chicken salad.",Tondré Grapefield,91,20.0,California,Santa Lucia Highlands,Central Coast,Riesling,Nacina
81,Argentina,"Lemony and stretched on the nose, with resiny oak aromas and a light hint of green. The palate has size, tannin and lots of oak, while the flavors run creamy and woody, with generic berry fruit residing under the surface. Decent for under $15, but an excess of oak creates a one-sided final product.",,85,14.0,Mendoza Province,Mendoza,,Cabernet Sauvignon,Viniterra
82,US,"A good Cabernet, with pleasantly ripe blackberry, cherry and currant flavors, as well as a nice coating of sweet oak. Feels a little rugged in the mouth, with some edgy tannins. Give it a couple hours of decanting before service.",,87,40.0,California,Napa Valley,Napa,Cabernet Sauvignon,Titus
83,US,"A good, rich, oaky Chardonnay that will satisfy your sweet tooth. It's bursting in ripe pineapple jam, lime, pear and buttered toast flavors, with clean, zesty acidity for balance.",,87,20.0,California,Sonoma Valley,Sonoma,Chardonnay,Wellington
84,Italy,"Pretty textbook Brunello with smooth bright berry nuances packed in a traditional, tight body. Good acidity and firmness with well structured, silky tannin.",Le Chiuse,93,75.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Gianni Brunelli
85,US,"Maybe this wine needs some age, but right now it's strong in sweet jammy raspberries and cherries, and the oak sticks out, like a caramelized, sweet vanilla coat. Yet it has good acidity and a fine, silky structure. If only it finished drier and firmer.",,85,36.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Woodside
86,Italy,"This luminous, ruby-colored Bardolino opens with sweet berry aromas that recall bright raspberry, blueberry and wild strawberry. The bouquet is bright, polished and refined and the wine performs nicely in the mouth where it delivers an enduring sensation of freshness. Pair this wine with appetizers and fried finger foods.",,86,,Veneto,Bardolino,,"Corvina, Rondinella, Molinara",Montezovo
87,France,"Dry tannins dominate this rough-edged wine. There are plenty of bitter cherry and cocoa flavors, while the acidity gives an attractive freshness. Those tannins need a year to settle down.",,87,20.0,Loire Valley,Bourgueil,,Cabernet Franc,Château de Minière
88,US,"Substantial and authoritative, with the acid, backbone and structure to support the dense fruit. Happily, it is not smothered in chocolate. The wine unfolds in compact layers of blackberry, black cherry, light chocolate and a hint of tar.",,88,32.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Tamarack Cellars
89,Italy,"Peach and pear notes vie with almond skin scents in the bouquet of this mainstream Pinot Grigio. It's medium-bodied and plump in the mouth, with pear and citrus flavors that yield a fresh, clean finish.",,84,8.0,Northeastern Italy,Vigneti delle Dolomiti,,Pinot Grigio,Mezzacorona
90,Portugal,"An unusual bottling of 100% Alicante Bouschet, this big, bold wine shows primary red and blackberry tones supported by soft tannins. Drink now through 2019.",Aluado,89,15.0,Lisboa,,,Alicante Bouschet,DFJ Vinhos
91,US,"A beautiful wine for drinking now, although it will take a few years in the cellar. Dry and soft, it offers appealing, complex flavors of blackberries, cherries, anise, mocha and sweet smoky oak, wrapped into firm but fine tannins. Gets more interesting as it airs and warms in the glass.",,92,45.0,California,Santa Cruz Mountains,Central Coast,Cabernet Sauvignon,Martin Ray
92,US,"Made from a majority of Merlot rounded out by other red Bordeaux varieties, this wine leans savory, featuring mushroom and leather within a suggestion of Martini olive water. The fruit is more shy, revealing black currant at best, with a flat, ghost-like finish.",Pauline's Cuvée,85,30.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Atalon
93,Australia,"Jam, bramble and clay aromas usher in fresh grape, blackberry and black pepper flavors. Medium bodied, closing with spicy purple fruit. Still very young when evaluated; by the time it hits stores this summer, this should be ready to drink.",,87,10.0,New South Wales,Hunter Valley,,Shiraz,Hope Estate
94,US,"Can Washington Mourvèdre really be this good? From the Far Away Vineyard (previously named for owner Art den Hoed) it sure can. Sappy and fresh, this lively wine features ripe red fruits, sharp acids and smooth tannins, with toasted walnuts and caramel streaking through the finish. It shows excellent concentration and length.",Far Away Vineyard,92,26.0,Washington,Yakima Valley,Columbia Valley,Mourvèdre,Trio Vintners
95,France,"A bright and aromatic selection, this leads with fragrances of strawberry, cherry, talc, peony and white tea. The light-weight palate is extremely lively and attractive, with tart, zippy flavors of cranberry and melon rind that transition to attractive garrigue and white-flower tones on the finish.",,89,17.0,Languedoc-Roussillon,Minervois,,Rosé,Chateau du Donjon
96,Portugal,"A firm, solidly tannic wine that is balanced easily between tight fruit tannins, elegant plum fruits and taut acidity. The aftertaste is smoky from the wood, but with the fruit always present.",Churchill Estates,88,28.0,Douro,,,Touriga Nacional,Churchill's
97,US,"Made from fruit grown in several notable Napa vineyards, this 100% Cabernet Sauvignon has impressive weight and depth. Its black currant, dark chocolate, anise, pepper and toasted cedar flavors sink deep into the mouth with sweet insistence. The tannins are considerable and will enable this wine to age over the next 10 years. Pair this with rich meats and cheeses.",Silencieux,94,55.0,California,Napa Valley,Napa,Cabernet Sauvignon,Venge
98,France,"Wood aged, giving a softly smoky and creamy style of wine, the acidity a whisper in the background of green plums and toast. This is smooth, ripe and richly full-bodied, a powerful wine that could still take some aging.",Mélodie de Gustave Fouassier,92,36.0,Loire Valley,Sancerre,,Sauvignon Blanc,Domaine Fouassier
99,Australia,"Burge's allusion is to the trio of Grenache, Shiraz and Mourvèdre that he blends together in this wine, not to the Father, Son and Holy Ghost. Sweet, jammy aromas of crushed cherries laced with caramel pick up some creamy and cedary notes with airing, then cinnamon and red-earth and iron-mineral flavors spice up the palate. A bit tart on the finish, but this should smooth out over the next year. Will then drink well for five or more years.",The Holy Trinity,88,33.0,South Australia,Barossa Valley,,Rhône-style Red Blend,Grant Burge
100,US,"There are some ripe berry-cherry flavors in this mountain wine, which contains raw tannins. It's also a little sweet in residual sugar.",Bailey Vineyard,84,25.0,California,Amador County,Sierra Foothills,Syrah,Four Vines
